appid,name,release_date,achievements,categories,windows,mac,linux,developer,dlc_count,languages,required_age,price,short_description,players_now,reviews_positive,reviews_negative
1808500,ARC Raiders,"Oct 30, 2025",50,1:Multi-player;49:PvP;36:Online PvP;9:Co-op;38:Online Co-op;27:Cross-Platform Multiplayer;22:Steam Achievements;28:Full controller support;35:In-App Purchases;15:Stats;62:Family Sharing,True,False,False,Embark Studios,1,English*;French;Italian;German;Spanish - Spain;Japanese;Korean;Polish;Portuguese - Brazil;Russian;Simplified Chinese;Traditional Chinese;Turkish*languages with full audio support,0,39.99,"ARC Raiders is a multiplayer extraction adventure, set in a lethal future earth, ravaged by a mysterious mechanized threat known as ARC.",140417.0,117324,13843
261550,Mount & Blade II: Bannerlord,"Oct 25, 2022",50,2:Single-player;1:Multi-player;49:PvP;36:Online PvP;22:Steam Achievements;29:Steam Trading Cards;30:Steam Workshop;18:Partial Controller Support;23:Steam Cloud;17:Includes level editor;42:Remote Play on Tablet;62:Family Sharing,True,False,False,TaleWorlds Entertainment,3,English*;Simplified Chinese;Turkish;Traditional Chinese;French;Italian;Japanese;Korean;Polish;Portuguese - Brazil;Russian;Spanish - Latin America;German*languages with full audio support,0,24.99,"A strategy/action RPG. Create a character, engage in diplomacy, craft, trade and conquer new lands in a vast medieval sandbox. Raise armies to lead into battle and command and fight alongside your troops in massive real-time battles using a deep but intuitive skill-based combat system.",31984.0,187865,25394
730,Counter-Strike 2,"Aug 21, 2012",1,1:Multi-player;27:Cross-Platform Multiplayer;29:Steam Trading Cards;30:Steam Workshop;35:In-App Purchases;64:Adjustable Text Size;67:Camera Comfort;66:Color Alternatives;68:Custom Volume Controls;74:Playable without Timed Input;69:Stereo Sound;70:Surround Sound;8:Valve Anti-Cheat enabled;15:Stats;41:Remote Play on Phone;42:Remote Play on Tablet;43:Remote Play on TV;63:Steam Timeline,True,False,True,Valve,1,Czech;Danish;Dutch;English*;Finnish;French;German;Hungarian;Italian;Japanese;Korean;Norwegian;Polish;Portuguese - Portugal;Portuguese - Brazil;Romanian;Russian;Simplified Chinese;Spanish - Spain;Swedish;Thai;Traditional Chinese;Turkish;Bulgarian;Ukrainian;Greek;Spanish - Latin America;Vietnamese;Indonesian*languages with full audio support,0,0.0,"For over two decades, Counter-Strike has offered an elite competitive experience, one shaped by millions of players from across the globe. And now the next chapter in the CS story is about to begin. This is Counter-Strike 2.",805982.0,4105425,684162
3564740,Where Winds Meet,"Nov 14, 2025",34,2:Single-player;1:Multi-player;49:PvP;36:Online PvP;9:Co-op;38:Online Co-op;27:Cross-Platform Multiplayer;22:Steam Achievements;28:Full controller support;35:In-App Purchases,True,False,False,Everstone Studio,0,English*;Japanese;Simplified Chinese*;Traditional Chinese*;Korean;French;German;Spanish - Latin America*languages with full audio support,0,0.0,Where Winds Meet is an epic Wuxia open-world action-adventure RPG set in ancient China at the tenth century. Players will assume the role of a young sword master as they embark on a journey to uncover the mysteries of their own identity. Let the wind carry your legend on an epic journey to the East!,103681.0,0,0
2807960,Battlefield™ 6,"Oct 10, 2025",53,2:Single-player;1:Multi-player;49:PvP;36:Online PvP;27:Cross-Platform Multiplayer;22:Steam Achievements;28:Full controller support;35:In-App Purchases;67:Camera Comfort;72:Chat Speech-to-text;73:Chat Text-to-speech;66:Color Alternatives;68:Custom Volume Controls;78:Adjustable Difficulty;75:Keyboard Only Option;74:Playable without Timed Input;69:Stereo Sound;65:Subtitle Options;70:Surround Sound;23:Steam Cloud;61:HDR available,True,False,False,Battlefield Studios,7,English*;French*;Italian*;German*;Spanish - Spain*;Arabic;Japanese*;Korean*;Polish*;Portuguese - Brazil*;Simplified Chinese*;Spanish - Latin America*;Traditional Chinese*languages with full audio support,0,59.49,"The ultimate all-out warfare experience. In a war of tanks, fighter jets, and massive combat arsenals, your squad is the deadliest weapon.",85376.0,143212,66591
2592160,Dispatch,"Oct 22, 2025",36,2:Single-player;22:Steam Achievements;28:Full controller support;29:Steam Trading Cards;64:Adjustable Text Size;66:Color Alternatives;68:Custom Volume Controls;78:Adjustable Difficulty;76:Mouse Only Option;74:Playable without Timed Input;65:Subtitle Options;23:Steam Cloud;62:Family Sharing,True,False,False,AdHoc Studio,2,English*;French;Italian;German;Spanish - Spain;Japanese;Korean;Simplified Chinese;Portuguese - Brazil;Russian;Traditional Chinese*languages with full audio support,0,29.99,"Dispatch is a superhero workplace comedy where choices matter. Manage a dysfunctional team of misfit heroes and strategize who to send to emergencies around the city, all while balancing office politics, personal relationships, and your own quest to become a hero. All episodes out now!",9225.0,102455,2355
1172470,Apex Legends™,"Nov 4, 2020",12,1:Multi-player;49:PvP;36:Online PvP;9:Co-op;38:Online Co-op;22:Steam Achievements;28:Full controller support;29:Steam Trading Cards;35:In-App Purchases;72:Chat Speech-to-text;74:Playable without Timed Input,True,False,False,Respawn,0,English*;French*;Italian*;German*;Spanish - Spain*;Japanese*;Korean*;Polish*;Portuguese - Brazil;Russian*;Simplified Chinese*;Traditional Chinese;Spanish - Latin America;Arabic*languages with full audio support,0,0.0,"Apex Legends is the award-winning, free-to-play Hero Shooter from Respawn Entertainment. Master an ever-growing roster of legendary characters with powerful abilities, and experience strategic squad play and innovative gameplay in the next evolution of Hero Shooter and Battle Royale.",76572.0,1179,389
632360,Risk of Rain 2,"Aug 11, 2020",171,2:Single-player;1:Multi-player;49:PvP;36:Online PvP;9:Co-op;38:Online Co-op;28:Full controller support;29:Steam Trading Cards;64:Adjustable Text Size;67:Camera Comfort;68:Custom Volume Controls;78:Adjustable Difficulty;69:Stereo Sound;70:Surround Sound;23:Steam Cloud;25:Steam Leaderboards;41:Remote Play on Phone;42:Remote Play on Tablet;43:Remote Play on TV;62:Family Sharing,True,False,False,Hopoo Games,6,English;French;Italian;German;Spanish - Spain;Japanese;Korean;Portuguese - Brazil;Russian;Simplified Chinese;Turkish,0,8.24,"Escape a chaotic alien planet by fighting through hordes of frenzied monsters – with your friends, or on your own. Combine loot in surprising ways and master each character until you become the havoc you feared upon your first crash landing.",17988.0,210064,14349
2183900,"Warhammer 40,000: Space Marine 2","Sep 9, 2024",50,2:Single-player;1:Multi-player;49:PvP;36:Online PvP;9:Co-op;38:Online Co-op;27:Cross-Platform Multiplayer;22:Steam Achievements;28:Full controller support;29:Steam Trading Cards;64:Adjustable Text Size;67:Camera Comfort;66:Color Alternatives;68:Custom Volume Controls;78:Adjustable Difficulty;69:Stereo Sound;65:Subtitle Options;70:Surround Sound;23:Steam Cloud;62:Family Sharing,True,False,False,Saber Interactive,19,English*;French*;Italian;German*;Spanish - Spain*;Russian*;Czech;Japanese*;Korean;Polish;Portuguese - Brazil;Simplified Chinese*;Spanish - Latin America;Traditional Chinese;Turkish;Ukrainian;Thai*languages with full audio support,17,23.99,Embody the superhuman skill and brutality of a Space Marine. Unleash deadly abilities and devastating weaponry to obliterate the relentless Tyranid swarms. Defend the Imperium in spectacular third-person action in solo or multiplayer modes.,10332.0,113293,22467
1151340,Fallout 76,"Apr 14, 2020",72,1:Multi-player;20:MMO;49:PvP;36:Online PvP;9:Co-op;38:Online Co-op;22:Steam Achievements;35:In-App Purchases;74:Playable without Timed Input;69:Stereo Sound;70:Surround Sound;18:Partial Controller Support;42:Remote Play on Tablet,True,False,False,Bethesda Game Studios,2,English*;French*;Italian*;German*;Spanish - Spain*;Japanese*;Korean;Polish;Traditional Chinese;Russian;Simplified Chinese;Spanish - Latin America;Portuguese - Brazil*languages with full audio support,17,9.99,"Bethesda Game Studios welcome you to Fallout 76. Twenty-five years after the bombs fall, you and your fellow Vault Dwellers emerge into post-nuclear America. Explore a vast wasteland in this open-world multiplayer addition to the Fallout story.",4949.0,52829,17029
